MeasureID,Year,Value,School,Subgroup,Comparison,Note
1.2a,2023,85%,,Hispanic,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,62%,,Two or More,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,82%,,White,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,82%,,FRL Eligible,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,85%,,English Learner,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,47%,,Special Education,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,76%,,Male,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,90%,,Female,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,81%,,African American,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,50%,,American Indian,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,95%,,Asian,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,83%,,Hispanic,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,78%,,Two or More,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,86%,,White,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,82%,,FRL Eligible,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,82%,,English Learner,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,45%,,Special Education,,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
2.6,2023,21%,,Male,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,20%,,Female,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,8%,,African American,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,83%,,Asian,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,17%,,Hispanic,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,17%,,Two or More,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,53%,,White,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,14%,,FRL Eligible,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,3%,,English Learner,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,14%,,Special Education,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,15%,,Male,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,18%,,Female,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,7%,,African American,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,54%,,Asian,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,9%,,Hispanic,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,10%,,Two or More,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,41%,,White,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,10%,,FRL Eligible,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,2%,,English Learner,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,6%,,Special Education,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,22%,,Male,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,24%,,Female,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,6%,,African American,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,56%,,Asian,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,11%,,Hispanic,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,28%,,Two or More,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,53%,,White,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,13%,,FRL Eligible,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,3%,,English Learner,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,6%,,Special Education,,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.2,2025,R 45.1 / M 45.1,,Male,,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,R 44.0 / M 42.3,,Female,,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,R 42.1 / M 40.3,,African American,,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,R 51.1 / M 50.6,,American Indian,,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,R 52.4 / M 44.6,,Asian,,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,R 42.7 / M 44.6,,Hispanic,,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,R 44.5 / M 41.2,,Two or More,,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,R 50.3 / M 47.2,,White,,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
