School,MeasureID,Metric,Value,Period,Type,ValidationStatus,Source,Note
Ken-o-Sha Park,3.1,Chronic Absence,35.8%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,43 of 120 scholars chronically absent.
Ken-o-Sha Park,3.1,Chronic Absence,34.6%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,53 of 153 scholars chronically absent.
Mulick Park,3.1,Chronic Absence,41.4%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,120 of 290 scholars chronically absent.
Mulick Park,3.1,Chronic Absence,39.0%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,117 of 300 scholars chronically absent.
Ottawa Hills High,3.1,Chronic Absence,81.6%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,305 of 374 scholars chronically absent.
Ottawa Hills High,3.1,Chronic Absence,72.7%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,264 of 363 scholars chronically absent.
Kent Hills,3.1,Chronic Absence,54.5%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,122 of 224 scholars chronically absent.
Kent Hills,3.1,Chronic Absence,55.3%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,241 of 436 scholars chronically absent.
Shawmut Hills,3.1,Chronic Absence,40.9%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,114 of 279 scholars chronically absent.
Shawmut Hills,3.1,Chronic Absence,40.4%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,111 of 275 scholars chronically absent.
Blandford School,3.1,Chronic Absence,8.3%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,5 of 60 scholars chronically absent.
Blandford School,3.1,Chronic Absence,3.4%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,2 of 58 scholars chronically absent.
CA Frost Environmental Elementary,3.1,Chronic Absence,12.8%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,60 of 469 scholars chronically absent.
CA Frost Environmental Elementary,3.1,Chronic Absence,12.8%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,66 of 514 scholars chronically absent.
CA Frost Environmental Middle/High,3.1,Chronic Absence,46.1%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,148 of 321 scholars chronically absent.
CA Frost Environmental Middle/High,3.1,Chronic Absence,50.7%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,151 of 298 scholars chronically absent.
Center for Economicology,3.1,Chronic Absence,6.8%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,4 of 59 scholars chronically absent.
Center for Economicology,3.1,Chronic Absence,10.2%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,6 of 59 scholars chronically absent.
City Middle/High,3.1,Chronic Absence,24.6%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,222 of 901 scholars chronically absent.
City Middle/High,3.1,Chronic Absence,18.3%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,171 of 934 scholars chronically absent.
Coit Creative Arts,3.1,Chronic Absence,33.1%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,81 of 245 scholars chronically absent.
Coit Creative Arts,3.1,Chronic Absence,25.3%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,66 of 261 scholars chronically absent.
Gerald R. Ford Academic Center,3.1,Chronic Absence,23.7%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,53 of 224 scholars chronically absent.
Gerald R. Ford Academic Center,3.1,Chronic Absence,25.0%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,56 of 224 scholars chronically absent.
Grand Rapids Montessori Elementary/Middle,3.1,Chronic Absence,15.0%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,44 of 293 scholars chronically absent.
Grand Rapids Montessori Elementary/Middle,3.1,Chronic Absence,19.0%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,68 of 358 scholars chronically absent.
Grand Rapids Montessori Middle/High,3.1,Chronic Absence,44.1%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,78 of 177 scholars chronically absent.
Grand Rapids Montessori Middle/High,3.1,Chronic Absence,53.1%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,94 of 177 scholars chronically absent.
John Ball Park Zoo,3.1,Chronic Absence,5.5%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,3 of 55 scholars chronically absent.
John Ball Park Zoo,3.1,Chronic Absence,16.1%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,9 of 56 scholars chronically absent.
North Park Montessori,3.1,Chronic Absence,14.7%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,54 of 367 scholars chronically absent.
North Park Montessori,3.1,Chronic Absence,12.5%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,62 of 496 scholars chronically absent.
Ridgemoor Park Montessori,3.1,Chronic Absence,22.3%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,31 of 139 scholars chronically absent.
Ridgemoor Park Montessori,3.1,Chronic Absence,18.8%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,29 of 154 scholars chronically absent.
Grand Rapids Learning Center,3.1,Chronic Absence,77.8%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,28 of 36 scholars chronically absent.
Grand Rapids Learning Center,3.1,Chronic Absence,25.9%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,14 of 54 scholars chronically absent.
Southeast Career Pathways,3.1,Chronic Absence,89.6%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,60 of 67 scholars chronically absent.
Southeast Career Pathways,3.1,Chronic Absence,97.6%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,80 of 82 scholars chronically absent.
Brookside,3.1,Chronic Absence,27.5%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,66 of 240 scholars chronically absent.
Brookside,3.1,Chronic Absence,32.6%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,94 of 288 scholars chronically absent.
Buchanan,3.1,Chronic Absence,28.3%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,119 of 420 scholars chronically absent.
Buchanan,3.1,Chronic Absence,26.6%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,118 of 444 scholars chronically absent.
Burton Elementary,3.1,Chronic Absence,25.2%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,100 of 397 scholars chronically absent.
Burton Elementary,3.1,Chronic Absence,24.2%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,97 of 400 scholars chronically absent.
Burton Middle,3.1,Chronic Absence,50.7%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,242 of 477 scholars chronically absent.
Burton Middle,3.1,Chronic Absence,50.6%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,252 of 498 scholars chronically absent.
Dickinson,3.1,Chronic Absence,50.6%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,117 of 231 scholars chronically absent.
Dickinson,3.1,Chronic Absence,39.8%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,109 of 274 scholars chronically absent.
Cesar E. Chavez,3.1,Chronic Absence,34.2%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,151 of 442 scholars chronically absent.
Cesar E. Chavez,3.1,Chronic Absence,35.0%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,176 of 503 scholars chronically absent.
Congress,3.1,Chronic Absence,33.3%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,69 of 207 scholars chronically absent.
Congress,3.1,Chronic Absence,32.0%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,89 of 278 scholars chronically absent.
Harrison Park,3.1,Chronic Absence,53.2%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,315 of 592 scholars chronically absent.
Harrison Park,3.1,Chronic Absence,54.1%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,430 of 795 scholars chronically absent.
Martin Luther King Jr.,3.1,Chronic Absence,55.1%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,150 of 272 scholars chronically absent.
Martin Luther King Jr.,3.1,Chronic Absence,49.0%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,164 of 335 scholars chronically absent.
Innovation Central Middle School,3.1,Chronic Absence,60.8%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,144 of 237 scholars chronically absent.
Innovation Central Middle School,3.1,Chronic Absence,67.5%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,154 of 228 scholars chronically absent.
Sibley,3.1,Chronic Absence,38.6%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,98 of 254 scholars chronically absent.
Sibley,3.1,Chronic Absence,43.4%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,152 of 350 scholars chronically absent.
Sherwood Global Studies,3.1,Chronic Absence,27.0%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,37 of 137 scholars chronically absent.
Sherwood Global Studies,3.1,Chronic Absence,22.8%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,34 of 149 scholars chronically absent.
Southwest Community Campus Elementary,3.1,Chronic Absence,20.1%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,130 of 648 scholars chronically absent.
Southwest Community Campus Elementary,3.1,Chronic Absence,21.5%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,155 of 721 scholars chronically absent.
Union High,3.1,Chronic Absence,73.3%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,645 of 880 scholars chronically absent.
Union High,3.1,Chronic Absence,74.9%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,598 of 798 scholars chronically absent.
Westwood,3.1,Chronic Absence,68.4%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,141 of 206 scholars chronically absent.
Westwood,3.1,Chronic Absence,69.6%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,126 of 181 scholars chronically absent.
Palmer,3.1,Chronic Absence,37.0%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,70 of 189 scholars chronically absent.
Palmer,3.1,Chronic Absence,39.6%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,97 of 245 scholars chronically absent.
Southwest Community Campus Middle/High,3.1,Chronic Absence,34.8%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,129 of 371 scholars chronically absent.
Southwest Community Campus Middle/High,3.1,Chronic Absence,38.3%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,144 of 376 scholars chronically absent.
