School,MeasureID,Year,Category,Subgroup,N,ChronicAbsent,Value,Source,ValidationStatus,Note
Sibley,3.1,2024,Gender,Female,108,40,37.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,Race,Two or More,20,11,55.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,FRL,FRL Eligible,168,76,45.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,English Learner,Not English Learner,175,83,47.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,Special Education,Not Special Education,165,50,30.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,Gender,Male,316,65,20.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,Race,White,41,2,4.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,Gender,Male,121,83,68.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,Race,Two or More,22,18,81.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,FRL,FRL Eligible,214,145,67.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,English Learner,Not English Learner,211,146,69.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Campus Elementary,3.1,2024,Special Education,Special Education,49,37,75.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,Gender,Male,128,68,53.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,Race,African American,92,52,56.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,FRL,FRL Eligible,175,98,56.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,English Learner,Not English Learner,137,86,62.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,Special Education,Not Special Education,161,75,46.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,Gender,Male,63,25,39.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,Race,African American,62,22,35.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,FRL,FRL Eligible,90,37,41.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,English Learner,Not English Learner,72,37,51.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,Special Education,Not Special Education,99,33,33.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,Race,African American,92,42,45.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Gender,Female,277,136,49.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Race,Two or More,59,34,57.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,FRL,FRL Eligible,417,254,60.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,English Learner,Not English Learner,423,249,58.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Special Education,Not Special Education,482,247,51.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,Gender,Male,236,25,10.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,Race,White,302,23,7.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,FRL,Not FRL Eligible,286,18,6.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,English Learner,Not English Learner,457,57,12.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
CA Frost Environmental Elementary,3.1,2024,Special Education,Not Special Education,429,51,11.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,Gender,Male,69,17,24.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,Race,White,88,13,14.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,FRL,Not FRL Eligible,89,13,14.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,English Learner,Not English Learner,138,31,22.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ridgemoor Park Montessori,3.1,2024,Special Education,Not Special Education,118,25,21.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,Gender,Female,141,20,14.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,Race,Hispanic,35,7,20.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,FRL,FRL Eligible,123,28,22.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,English Learner,Not English Learner,285,44,15.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,Special Education,Not Special Education,242,32,13.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,Gender,Male,197,56,28.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,Race,Hispanic,348,88,25.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,FRL,Not FRL Eligible,151,35,23.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,English Learner,English Learner,302,64,21.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,Special Education,Not Special Education,350,97,27.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,Gender,Female,119,28,23.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,Race,African American,124,27,21.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,FRL,FRL Eligible,154,44,28.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,English Learner,Not English Learner,169,44,26.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Gerald R. Ford Academic Center,3.1,2024,Special Education,Not Special Education,191,45,23.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,Race,White,32,16,50.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Sibley,3.1,2024,FRL,Not FRL Eligible,86,22,25.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,Gender,Male,142,85,59.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,Race,African American,201,116,57.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,FRL,FRL Eligible,243,143,58.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,English Learner,Not English Learner,248,142,57.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,Special Education,Special Education,46,24,52.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,Gender,Male,128,35,27.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,Race,White,88,20,22.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,FRL,FRL Eligible,129,47,36.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,English Learner,Not English Learner,200,56,28.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Aberdeen Academy,3.1,2024,Special Education,Special Education,72,26,36.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,Gender,Male,238,81,34.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,Race,Hispanic,346,88,25.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,FRL,FRL Eligible,290,122,42.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,English Learner,English Learner,287,55,19.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,Special Education,Not Special Education,375,127,33.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,Gender,Male,98,43,43.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,Race,White,50,20,40.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,FRL,Not FRL Eligible,60,16,26.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,English Learner,Not English Learner,139,64,46.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,Special Education,Special Education,39,18,46.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Buchanan,3.1,2024,English Learner,Not English Learner,118,55,46.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,Race,Hispanic,109,46,42.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Dickinson,3.1,2024,Special Education,Special Education,70,42,60.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,Gender,Male,152,24,15.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Grand Rapids Montessori Elementary/Middle,3.1,2024,Race,White,194,20,10.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,Gender,Female,204,70,34.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,Race,African American,76,46,60.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,English Learner,Not English Learner,155,96,61.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,Gender,Male,115,26,22.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,Race,African American,106,27,25.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,FRL,FRL Eligible,165,54,32.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,English Learner,Not English Learner,172,54,31.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Brookside,3.1,2024,Special Education,Not Special Education,216,57,26.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,Race,Two or More,27,8,29.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,English Learner,English Learner,50,6,12.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Palmer,3.1,2024,Special Education,Not Special Education,150,52,34.7%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Gender,Male,315,179,56.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,Race,Hispanic,277,125,45.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,FRL,Not FRL Eligible,175,61,34.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Harrison Park,3.1,2024,English Learner,English Learner,169,66,39.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,Gender,Male,218,36,16.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,Race,White,257,27,10.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,FRL,FRL Eligible,123,36,29.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,English Learner,Not English Learner,364,52,14.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
North Park Montessori,3.1,2024,Special Education,Special Education,55,13,23.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Cesar E. Chavez,3.1,2024,FRL,Not FRL Eligible,152,29,19.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,Gender,Female,130,65,50.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,Race,Hispanic,41,21,51.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,FRL,Not FRL Eligible,29,7,24.1%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,English Learner,English Learner,24,8,33.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Martin Luther King Jr.,3.1,2024,Special Education,Not Special Education,226,126,55.8%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,Gender,Male,208,55,26.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,Race,Hispanic,337,79,23.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,FRL,FRL Eligible,233,71,30.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,English Learner,English Learner,293,65,22.2%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Burton Elementary,3.1,2024,Special Education,Special Education,69,20,29.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Ken-o-Sha Park,3.1,2024,Gender,Female,57,18,31.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
