Indicator,Year,Value,Use,Source,Note
Panorama Self-Efficacy — Grades 6-8,2025,37%,Survey context,GRPS CNA 2025-26,Spring 2025 favorable response.
Panorama Positive Feelings — Grades 9-12,2025,46%,Survey context,GRPS CNA 2025-26,Spring 2025 favorable response.
Panorama Challenging Feelings — Grades 9-12,2025,53%,Survey context,GRPS CNA 2025-26,Higher score means less frequent challenging feelings.
Panorama Self-Efficacy — Grades 9-12,2025,38%,Survey context,GRPS CNA 2025-26,Spring 2025 favorable response.
Suspension incidents,2023,"4,671",ENDS 3.2 supporting context,GRPS CNA 2025-26,Districtwide suspension incidents.
Unique scholars suspended,2023,"2,218",ENDS 3.2 numerator context,GRPS CNA 2025-26,Districtwide unique scholars suspended.
Suspension incidents,2024,"4,918",ENDS 3.2 supporting context,GRPS CNA 2025-26,Districtwide suspension incidents.
Unique scholars suspended,2024,"2,226",ENDS 3.2 numerator context,GRPS CNA 2025-26,Districtwide unique scholars suspended.
Suspension incidents,2025,"4,062",ENDS 3.2 supporting context,GRPS CNA 2025-26,Districtwide suspension incidents.
Unique scholars suspended,2025,"1,920",ENDS 3.2 numerator context,GRPS CNA 2025-26,Districtwide unique scholars suspended.
African American share of suspension incidents,2025,55%,Equity context,GRPS CNA 2025-26,African American scholars were 31% of scholar population.
Satisfactory attendance,2023,31%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
At-risk attendance,2023,27%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
Moderate chronic absence,2023,23%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
Severe chronic absence,2023,19%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
Satisfactory attendance,2024,30%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
At-risk attendance,2024,28%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
Moderate chronic absence,2024,23%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
Severe chronic absence,2024,19%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
Satisfactory attendance,2025,31%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
At-risk attendance,2025,27%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
Moderate chronic absence,2025,24%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
Severe chronic absence,2025,18%,ENDS 3.1 supporting context,GRPS CNA 2025-26,Districtwide attendance category.
PK-12 enrollment denominator (summed grade divisions),2023,"13,787",Calculation context,GRPS CNA 2025-26,"Sum of elementary, middle, and high school totals used for suspension-rate calculation."
PK-12 enrollment denominator (summed grade divisions),2024,"13,801",Calculation context,GRPS CNA 2025-26,"Sum of elementary, middle, and high school totals used for suspension-rate calculation."
PK-12 enrollment denominator (summed grade divisions),2025,"13,691",Calculation context,GRPS CNA 2025-26,"Sum of elementary, middle, and high school totals used for suspension-rate calculation."
