School,MeasureID,Year,Value,Population,ChronicAbsent,Source,ValidationStatus,Note
Campus Elementary,3.1,2024,65.0%,243,158,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Campus Elementary,3.1,2025,62.3%,260,162,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Ken-o-Sha Park,3.1,2024,35.8%,120,43,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Ken-o-Sha Park,3.1,2025,34.6%,153,53,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Mulick Park,3.1,2024,41.4%,290,120,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Mulick Park,3.1,2025,39.0%,300,117,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Ottawa Hills High,3.1,2024,81.6%,374,305,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Ottawa Hills High,3.1,2025,72.7%,363,264,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Kent Hills,3.1,2024,54.5%,224,122,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Kent Hills,3.1,2025,55.3%,436,241,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Shawmut Hills,3.1,2024,40.9%,279,114,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Shawmut Hills,3.1,2025,40.4%,275,111,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Blandford School,3.1,2024,8.3%,60,5,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Blandford School,3.1,2025,3.4%,58,2,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
CA Frost Environmental Elementary,3.1,2024,12.8%,469,60,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
CA Frost Environmental Elementary,3.1,2025,12.8%,514,66,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
CA Frost Environmental Middle/High,3.1,2024,46.1%,321,148,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
CA Frost Environmental Middle/High,3.1,2025,50.7%,298,151,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Center for Economicology,3.1,2024,6.8%,59,4,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Center for Economicology,3.1,2025,10.2%,59,6,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
City Middle/High,3.1,2024,24.6%,901,222,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
City Middle/High,3.1,2025,18.3%,934,171,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Coit Creative Arts,3.1,2024,33.1%,245,81,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Coit Creative Arts,3.1,2025,25.3%,261,66,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Gerald R. Ford Academic Center,3.1,2024,23.7%,224,53,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Gerald R. Ford Academic Center,3.1,2025,25.0%,224,56,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Grand Rapids Montessori Elementary/Middle,3.1,2024,15.0%,293,44,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Grand Rapids Montessori Elementary/Middle,3.1,2025,19.0%,358,68,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Grand Rapids Montessori Middle/High,3.1,2024,44.1%,177,78,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Grand Rapids Montessori Middle/High,3.1,2025,53.1%,177,94,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
John Ball Park Zoo,3.1,2024,5.5%,55,3,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
John Ball Park Zoo,3.1,2025,16.1%,56,9,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
North Park Montessori,3.1,2024,14.7%,367,54,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
North Park Montessori,3.1,2025,12.5%,496,62,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Ridgemoor Park Montessori,3.1,2024,22.3%,139,31,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Ridgemoor Park Montessori,3.1,2025,18.8%,154,29,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Grand Rapids Learning Center,3.1,2024,77.8%,36,28,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Grand Rapids Learning Center,3.1,2025,25.9%,54,14,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Southeast Career Pathways,3.1,2024,89.6%,67,60,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Southeast Career Pathways,3.1,2025,97.6%,82,80,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Brookside,3.1,2024,27.5%,240,66,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Brookside,3.1,2025,32.6%,288,94,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Buchanan,3.1,2024,28.3%,420,119,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Buchanan,3.1,2025,26.6%,444,118,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Burton Elementary,3.1,2024,25.2%,397,100,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Burton Elementary,3.1,2025,24.2%,400,97,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Burton Middle,3.1,2024,50.7%,477,242,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Burton Middle,3.1,2025,50.6%,498,252,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Dickinson,3.1,2024,50.6%,231,117,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Dickinson,3.1,2025,39.8%,274,109,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Cesar E. Chavez,3.1,2024,34.2%,442,151,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Cesar E. Chavez,3.1,2025,35.0%,503,176,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Congress,3.1,2024,33.3%,207,69,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Congress,3.1,2025,32.0%,278,89,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Harrison Park,3.1,2024,53.2%,592,315,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Harrison Park,3.1,2025,54.1%,795,430,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Martin Luther King Jr.,3.1,2024,55.1%,272,150,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Martin Luther King Jr.,3.1,2025,49.0%,335,164,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Innovation Central Middle School,3.1,2024,60.8%,237,144,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Innovation Central Middle School,3.1,2025,67.5%,228,154,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Sibley,3.1,2024,38.6%,254,98,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Sibley,3.1,2025,43.4%,350,152,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Sherwood Global Studies,3.1,2024,27.0%,137,37,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Sherwood Global Studies,3.1,2025,22.8%,149,34,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Southwest Community Campus Elementary,3.1,2024,20.1%,648,130,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Southwest Community Campus Elementary,3.1,2025,21.5%,721,155,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Union High,3.1,2024,73.3%,880,645,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Union High,3.1,2025,74.9%,798,598,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Westwood,3.1,2024,68.4%,206,141,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Westwood,3.1,2025,69.6%,181,126,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Palmer,3.1,2024,37.0%,189,70,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Palmer,3.1,2025,39.6%,245,97,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Southwest Community Campus Middle/High,3.1,2024,34.8%,371,129,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Southwest Community Campus Middle/High,3.1,2025,38.3%,376,144,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
